,ic50_weight,deps_weight,combined_weight,scaled_combined_weight
FERMT1,-0.3240537882060796,-0.0049621510513412,-2.060275485453509,-1.4022436069386672
KRT8P41,-0.1075209630735974,0.0120687811061378,-0.5849289741522313,-0.39402461021731217
FRK,0.2339258257083127,0.0192717196442742,1.617378288053645,1.1109831973484714
VCAM1,0.0807339773003296,-0.0054954632605798,0.4932687984293588,0.34279177034985914
PARVA,-0.0760486989278603,0.0006723691392637,-0.4581163264317421,-0.3073636668545489
LAMB3,-0.3732423146304605,0.0040132183920599,-2.314288957186818,-1.5758307647100172
RPL5,-0.0346034400944348,-0.0177275473559851,-0.3125463723649261,-0.2078843974640863
TRIM31,0.1587533421712825,0.0069790630621574,1.0648893624064157,0.733424551939536
RHOD,-0.0565498701494596,-0.0078052420497839,-0.3884988690427603,-0.2597886446442733
KPNA7,-0.1419624723151875,-0.0046694849645133,-0.9082150174674102,-0.6149511029080086
KCNH1,-0.1723429733925814,0.0026594076619784,-1.0538245525362457,-0.7144574210750397
TMC4,0.0690878763028395,-0.0071496399827891,0.409255257284206,0.2853787846441052
POLR1D,-0.0080175469697984,0.0005324175648124,-0.0292696303680761,-0.01429937155810411
ALS2CL,0.1654398743994248,0.0011147908515303,1.0700833122824556,0.7369739817805454
UBBP4,0.0240374208246742,-0.0003708007407299,0.1675058688048002,0.12017262863691164
LINC00315,-0.2530702450005412,-0.0025397091437962,-1.5965936826694778,-1.085373774380803
LIX1L,-0.1154531136536946,0.0016352591292594,-0.7009389718035243,-0.4733032627546539
CHMP4C,0.5437618169705039,0.0154387751487991,3.5503002992985824,2.4318991150599767
SOWAHB,-0.4859848308510585,0.0015708126502897,-3.0418747553580574,-2.07304671895652
STYK1,0.2484807907764089,0.0172373832907472,1.6964670392694665,1.1650306911351545
AGPAT1,-0.4129512269473763,-0.0095848633399218,-2.6510119514155948,-1.8059397708409985
TMPRSS13,-0.1721129195544274,0.005827735978716,-1.0323580745412742,-0.6997877073898513
CDH1,-0.2039100104930324,0.0090406682176902,-1.2129149353543491,-0.8231762508036647
STX2,-0.2048014734922645,-0.0025262152180033,-1.291610269607478,-0.8769548921869424
ANXA8,-0.0929267081609676,0.0127745773141051,-0.48828351294961536,-0.3279792512558904
LSR,-0.1620330945127166,-0.0031857372821046,-1.025622276153671,-0.6951846125640286
SYT8,-0.2001698460571733,-0.0010251888410299,-1.252872284264078,-0.8504822144676716
DAB2,-0.1006908368726899,0.0042050381872926,-0.5914579957629723,-0.3984863983921778
FBXL18,-0.2426607652375837,-0.0044079017582518,-1.5426411416469399,-1.0485038076552688
CRB3,-0.0320387120023289,0.0107541341166403,-0.1164362713320307,-0.07386711556065353
TXNDC15,-0.1679491196269592,0.0059673829438382,-1.0051745961059986,-0.6812111227397566
PDE10A,-0.2465816506930213,-0.0124983362257435,-1.6185127543921374,-1.1003527805546078
MPZL3,0.1204372934999138,0.0071334755237658,0.8238346820874917,0.5686931440401325
DGKA,0.2843190240179171,0.0005236216908976,1.8172701246641454,1.2475848332465163
EPS8L2,-0.1318638970218748,-0.0258676110782594,-0.9783272804740709,-0.6628642642738025
OMP,0.2852134072276359,-0.009164984000036,1.7617198731704595,1.20962302671526
SCAMP3,-0.2750127872476066,-0.0121155961975939,-1.7956853793019967,-1.2214286124115958
MLPH,0.0211029380434749,-0.0016126979914136,0.1411250305214981,0.10214455041737552
SHISA4,0.1028580578421362,0.0025078288508024,0.683573641330882,0.4728418679450049
STK36,-0.1735705603537005,-0.0020589439236787,-1.0913831180995985,-0.7401241095448401
HDLBP,0.1055884553487774,-0.0028727397752766,0.6668333698059642,0.4614019386589626
UGT1A8,-0.3010856699434013,0.001813291285643,-1.8723950588258784,-1.273850301510362
DMKN,0.2293162412291881,0.0221068925786615,1.606169905757881,1.103323638142182
KRT8P14,0.0690397446320578,-0.0003383904510074,0.4519756795685521,0.3145729712064514
CACNG8,-0.3294127756956096,-0.0018783646598576,-2.0746471929541053,-1.4120649122431708
HTR5BP,0.0644041180473444,0.0054416182359767,0.4592043701914929,0.3195128976248507
