,EGFR_IC50_weight,EGFR_dep_weight,combined_weight,scaled_combined_weight
STARD9,-0.01481440102358289,-0.0003450461835718603,-0.015159447207154751,-0.03414587349848353
TMEM125,0.20050138094452088,0.0035332188434374573,0.20403459978795835,0.5835099511293826
TNK1,-0.28279991531857224,-0.004775231808401632,-0.28757514712697385,-0.8017723035141879
FEM1B,-0.11320580758096738,0.0037696314292042653,-0.10943617615176311,-0.2998035022423798
TUBA1A,-0.02334943968696026,0.004429131187464148,-0.01892030849949611,-0.04474341442022177
TGOLN2,-0.35584134194335204,-0.015904007255343838,-0.3717453491986959,-1.0389512610743934
SEPT7P6,-0.17253880974864255,0.015032511314823638,-0.15750629843381891,-0.4352578698454721
CREB3L1,-0.02535333886634089,-0.009569848009494775,-0.03492318687583566,-0.08983711644114309
CYP2S1,-0.12222789629735041,-0.002989681087584171,-0.12521757738493458,-0.3442731150173794
GPRIN2,0.5662936908033969,0.03112903365659127,0.5974227244599881,1.6920184616206806
MOXD1,-0.2801407051997683,0.00577350960840484,-0.27436719559136347,-0.7645542845524129
SERPINB13,0.016880816962097644,0.006694449221195657,0.0235752661832933,0.07500271729985436
OR2A7,-0.10460642020030164,-0.009705321883373749,-0.1143117420836754,-0.3135421130189304
TWF1P1,-0.14416549084776564,-0.009304269639112576,-0.15346976048687822,-0.4238835136143701
AKT1S1,0.2744215608384756,-0.0005353077576388237,0.27388625308083675,0.7803413938975092
RPA4,-0.3747291212037365,-0.007180807390794536,-0.38190992859453105,-1.0675935155279095
MIR205,0.17182875639129516,0.018591074368088302,0.19041983075938346,0.5451455817190681
TRAF3IP3,0.37884688723525567,0.005684715357912824,0.3845316025931685,1.092123331094925
PKP2,-0.24289397233203813,0.0006329782930538305,-0.2422609940389843,-0.6740838421870445
MRNIP,-0.08351657402453383,-0.003156431584610953,-0.08667300560914479,-0.23566031466320642
TNS4,0.0004151890225171928,0.0003406606221129675,0.0007558496446301603,0.010701036971697511
DDR2,-0.08224053094967161,0.009803440892732749,-0.07243709005693887,-0.1955456478633072
RPL36AP33,-0.27205393993759286,-0.02518081202438968,-0.29723475196198257,-0.828991615679539
MIR1181,0.1657329163329206,-0.0022427012205288597,0.16349021511239173,0.4692619790967533
TUBB3,0.2812409546849813,-0.002524698280680548,0.27871625640430076,0.7939516161029325
TMEM61,-0.42746586474433723,-0.024694943914073605,-0.45216080865841085,-1.2655499192328714
AREG,0.2889642057166507,0.029917300433009747,0.3188815061496605,0.9071312429812458
TMEM45B,0.04995291597408977,0.00022471787910251706,0.05017763385319229,0.1499641843901147
ANKRD52,0.0414510251620005,0.016578154495044895,0.05802917965704539,0.1720886584101161
NBPF9,-0.022548864823482284,-0.013470553459853794,-0.036019418283336074,-0.09292613150913775
FOSL1P1,0.05357759976096295,-0.020618025189957943,0.032959574571005006,0.10144628552277923
MAP7,-0.21224455440383813,0.002175908247341879,-0.21006864615649626,-0.5833706524328146
EPHA5,-0.21701310076939226,-0.008308565169622233,-0.22532166593901448,-0.6263513658280397
SYDE1,-0.10785719820278869,-0.010321420351776175,-0.11817861855456487,-0.3244383887531641
FAM25BP,0.21412252354237382,0.017554447888596676,0.2316769714309705,0.6614019928426107
CEP295NL,0.26460725380677513,0.006187326611857096,0.27079458041863225,0.7716295257887191
